product_id,brand_name,review_id,review_title,review_text,author,review_date,review_rating,is_a_buyer,pro_user,review_label,product_title,mrp,price,product_rating,product_rating_count,product_tags,product_url,review_year,sentiment
266374,L'Oreal Paris,1721771,nice,Very nice products..and yea ghar par akala kar sakta ha.akdom easy ha.thanks nyka,Sanchita rudra,1/5/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1572371,Perfect,"This product is perfect for self application of highlights, however i would recommend it for people with short hair only, as it is not sufficient for long hair. It was perfect for me as I have short hair and I just love my new hair colour.",yashmita upadhyaya,11/4/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,5358949,Best one,I love to color my hair. This product is the one I consider best. Go for it. It has two different colors.,Dilraj Kapur,24/5/2019,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2019,Positive
266374,L'Oreal Paris,1519204,highlights can be easily done at home,Wow its amazing. Shade is so cool. My hair look all new. Applicator that comes with pack is good. Only thing to keep in mind is to apply a thick layer on the sides that you want to cover,Sheetal Bindroo,26/3/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1384301,Excellent results,Gives excellent results. Leaves your hair smooth and silky. And the brush which comes with it makes coloring so much easier.,Bembem Phanjoubam,16/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1388084,amazing colour,It actually looks like the same after coloring..,Shefali Sharma,16/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1394119,awesome. have to try,Awesome product. but use it carefully colour it carefully. don't just apply evenly. apply more through the particular strands you will definitely see a good result.,kavitha perumal,18/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1401610,Easy to use,The product may not be the best but its decent and justifies the price. It adds a tint of color.,Vedika Virmani,20/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1403522,not worth it.,I bought the caramel highlights . The smell was too strong . My eyes were burning . Color was subtle dint show up as much . The worst thing was brush . Not effective . Please pass,Aarti Nevgi,21/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
266374,L'Oreal Paris,1413327,Absolutely Amazing,Excellent product..Nykaa delivered the product to me just in 3 days!! Thank you so much nykaa for the super fast delivery,Ammara loonat,24/2/2018,5,TRUE,FALSE,Verified Buyer,L'Oreal Paris Excellence Fashion Highlights Hair Color,350,350,3.9,2501,,https://www.nykaa.com/l-oreal-paris-excellence-fashion-highlights-hair-color/p/266374,2018,Positive
